
1,151.0343,969.7874,47.98484,52.15555,3,98.45876,100.5864
2,142.101,1027.205,46.29923,53.54265,4,96.04881,98.38306
3,136.0505,878.4703,48.12228,52.38707,3,97.36615,101.6276
4,160.3485,1058.057,46.03157,52.40771,4,98.14343,99.156
5,130.0247,1085.116,44.09135,55.9106,5,96.69839,97.51293
6,130.7125,958.2913,49.97598,54.71627,4,98.29072,102.0489
7,151.5667,1154.122,44.12711,53.83894,5,100.7992,96.82549
8,137.0225,1054.064,50.3327,52.03659,3,98.51351,100.6964
9,123.5754,812.7421,50.32909,53.84491,3,98.08548,101.8526
10,165.4845,1068.282,45.67557,52.62514,4,99.52567,101.4965
11,128.1505,866.7071,48.0492,57.43114,4,100.3553,100.797
12,131.1857,1125.566,45.49575,53.68947,4,97.54287,95.986
13,180.5406,1082.457,46.40467,52.654,5,101.6143,103.8552
14,125.4438,1137.476,50.38954,49.85327,4,100.1641,101.7108
15,146.3156,1092.688,46.57156,53.42474,5,99.19554,100.2457
16,125.1174,1133.899,48.26816,50.49049,4,102.365,99.36645
17,163.8366,1031.37,44.92518,50.99063,5,97.7963,101.2926
18,143.7564,979.2088,44.97707,52.00509,4,95.49342,97.86485
19,117.9052,1109.86,46.16622,53.24422,5,94.16216,95.29163
20,123.3142,1045.588,51.46035,52.37531,4,99.68054,99.68726
21,125.0022,1042.835,48.47148,50.69253,4,99.75298,99.21935
22,142.8598,1032.968,47.4979,54.47978,3,99.89145,97.97713
23,114.4267,736.7969,48.68003,53.298,3,96.34752,102.5443
24,115.3685,1151.668,48.01388,49.29565,5,102.6422,97.05859
25,131.6132,1067.752,49.67061,48.7351,5,99.88453,99.34999
26,119.1498,1050.709,53.01831,50.93294,4,99.91669,101.3627
27,114.029,1216.323,44.93533,52.48663,6,92.59521,96.20944
28,116.3068,1096.255,47.17139,50.07658,4,98.73519,100.4537
29,147.3455,1138.581,51.76073,53.16072,3,100.5756,100.2085
30,133.2725,832.7464,50.39099,51.63329,4,97.91072,101.7387
31,158.7139,1207.251,46.03018,53.67895,6,98.88968,95.85335
32,122.3779,1184.086,43.99579,52.325,4,95.13242,97.08843
33,115.5637,1203.374,44.57682,52.94535,5,91.73533,94.27306
34,126.6066,884.7594,46.83558,56.64567,5,99.04478,102.4613
35,155.8511,886.9548,45.05041,51.77087,4,95.02134,98.3106
36,151.0025,1045.474,44.19883,54.03192,5,100.8276,100.874
